GeneName	pValue	rank	DataSet
TXNIP	4.77006921361241e-12	7.46329918132726	Proteomics
HKDC1	8.17188291258342e-11	6.61584049246061	Proteomics
PIGG	1.00717427425583e-10	6.61584049246061	Proteomics
SDF4	1.36319239715053e-09	5.60932669808026	Proteomics
SDCBP	3.02888000433989e-09	-5.41567004905033	Proteomics
NDFIP2	3.60801935451894e-09	-5.41567004905033	Proteomics
NEU1	3.72607723646291e-09	5.41567004905033	Proteomics
CD68	4.8308564373579e-09	5.39686699113769	Proteomics
SARS	5.19270801011216e-09	-5.39686699113769	Proteomics
UTS2	5.55849054010899e-09	-5.39686699113769	Proteomics
CNTD2	6.41311425307255e-09	-5.3925473683839	Proteomics
MAP1LC3A	6.73686337224548e-09	-5.3925473683839	Proteomics
CAPG	8.23810771764522e-09	-5.33993974803535	Proteomics
SQSTM1	1.01592084497112e-08	-5.28109202629469	Proteomics
SAA1	1.24384255210349e-08	5.22314971104025	Proteomics
PNP	1.35890408831467e-08	-5.21275503943897	Proteomics
AARS	1.81433967775196e-08	-5.11355418514639	Proteomics
CALCOCO1	1.96397980569114e-08	-5.11106568524707	Proteomics
ANKS1A	2.03944396696864e-08	-5.11106568524707	Proteomics
CLU	3.02345493912701e-08	-4.97683953573403	Proteomics
GFPT1	3.07046125121124e-08	-4.97683953573403	Proteomics
F10	3.91268102203785e-08	-4.89980004580029	Proteomics
GNPDA1	4.42021473107256e-08	-4.89980004580029	Proteomics
EPG5	4.50078365678933e-08	-4.89980004580029	Proteomics
APP	4.77114539000637e-08	-4.89980004580029	Proteomics
UAP1L1	4.78339719871084e-08	-4.89980004580029	Proteomics
MTRF1L	4.79159214971947e-08	-4.89980004580029	Proteomics
SNRPB	4.92774291857184e-08	4.89980004580029	Proteomics
TBC1D15	5.06316189391845e-08	-4.89980004580029	Proteomics
GARS	6.21369356595768e-08	-4.82559528492411	Proteomics
XPOT	6.5820532045055e-08	-4.82031938780204	Proteomics
CYR61	6.70894841392368e-08	-4.82031938780204	Proteomics
CTH	7.23962865504164e-08	-4.80062151155507	Proteomics
LOXL2	8.69160575036877e-08	-4.75908114404885	Proteomics
METAP2	8.75417758527399e-08	-4.75908114404885	Proteomics
PDIA4	9.03119988197989e-08	-4.75908114404885	Proteomics
PSAT1	9.22020554466609e-08	-4.75908114404885	Proteomics
LAMP1	9.33164573312796e-08	-4.75908114404885	Proteomics
IGFBP4	9.61184326393337e-08	4.75908114404885	Proteomics
LAMB2	9.65612122384238e-08	-4.75908114404885	Proteomics
SPIRE1	1.17211493383845e-07	-4.69733441107076	Proteomics
LGALS3BP	1.19646094836942e-07	-4.69733441107076	Proteomics
TARS	1.19662454428282e-07	-4.69733441107076	Proteomics
PDCD6IP	1.4726990992989e-07	-4.63054704140927	Proteomics
HYOU1	1.48222614267114e-07	-4.63054704140927	Proteomics
VCAM1	1.50267636592741e-07	4.63054704140927	Proteomics
SNX2	1.52536816599723e-07	-4.63054704140927	Proteomics
FAM20C	1.71290515702597e-07	4.5957014301735	Proteomics
HNRNPA2B1	1.73061713812468e-07	4.5957014301735	Proteomics
P4HTM	1.75829781405768e-07	4.5957014301735	Proteomics
ASS1	1.79808070398128e-07	-4.59458485766657	Proteomics
TMEM59	1.83695504356001e-07	-4.59372867785657	Proteomics
DUSP3	2.11516666453367e-07	-4.54075513833028	Proteomics
EVI2A	2.43381068591116e-07	-4.49463666563456	Proteomics
C1orf123	2.44089942945903e-07	-4.49463666563456	Proteomics
EZH2	2.56823857369796e-07	4.48037652444481	Proteomics
GALT	2.7385635100855e-07	-4.46176946029898	Proteomics
ATP6V1G1	2.8340155306561e-07	-4.46176946029898	Proteomics
LTBR	2.84914136847851e-07	-4.46176946029898	Proteomics
YARS	2.9760909960025e-07	-4.46176946029898	Proteomics
CRELD2	3.00711954283489e-07	-4.46176946029898	Proteomics
NDST1	3.07279945620959e-07	-4.46176946029898	Proteomics
C16orf62	3.11990141762936e-07	-4.46176946029898	Proteomics
RRAGA	3.13577383147598e-07	-4.46176946029898	Proteomics
CRIM1	3.14084805825719e-07	-4.46176946029898	Proteomics
NCOA4	3.15935433975823e-07	-4.46176946029898	Proteomics
HSPA5	3.21277277097904e-07	-4.46101865432403	Proteomics
DAAM1	3.30830600397517e-07	-4.45540342993124	Proteomics
ATIC	3.35173382971671e-07	-4.45540342993124	Proteomics
GYG1	3.41912588057481e-07	-4.45300681169667	Proteomics
LARP4B	3.52516675141561e-07	4.44590254543575	Proteomics
C4orf32	4.47785948543203e-07	4.34808589708866	Proteomics
MATR3	4.78481700505348e-07	4.33024270608951	Proteomics
PPCS	4.79526790545595e-07	-4.33024270608951	Proteomics
FAM208A	4.87305043682398e-07	4.3290842189899	Proteomics
LRP5	5.01422444976925e-07	4.32243368408699	Proteomics
MFGE8	5.40731480036322e-07	-4.30587746463446	Proteomics
CTSZ	5.44608345881508e-07	4.30587746463446	Proteomics
TNFRSF21	5.44774172028489e-07	-4.30587746463446	Proteomics
OGT	5.55062378725479e-07	-4.30587746463446	Proteomics
TNIP1	5.56175304879437e-07	-4.30587746463446	Proteomics
PLK1	5.62030972969738e-07	4.30587746463446	Proteomics
BST2	5.79407896877816e-07	4.29940930261705	Proteomics
DPP3	5.91398712389671e-07	-4.29940930261705	Proteomics
SLC4A2	5.96716723897682e-07	-4.29940930261705	Proteomics
WDR76	5.98321106254114e-07	4.29940930261705	Proteomics
MBTPS2	6.05248625741123e-07	4.29940930261705	Proteomics
CNTNAP1	6.2924132062186e-07	4.28748930030424	Proteomics
SLC5A3	6.6058885801371e-07	-4.2712826243813	Proteomics
ACY1	6.91148889297568e-07	-4.26465885891762	Proteomics
CHAF1A	6.91588220217303e-07	4.26465885891762	Proteomics
TYMS	6.93350495803249e-07	4.26465885891762	Proteomics
SLC3A2	7.15226161451959e-07	-4.25588402448699	Proteomics
NUSAP1	7.39267729550216e-07	4.25588402448699	Proteomics
AHCYL2	7.3995156671335e-07	-4.25588402448699	Proteomics
LAMC1	7.44904849338215e-07	-4.25588402448699	Proteomics
ENO2	7.45953183618597e-07	-4.25588402448699	Proteomics
UAP1	7.63520141447884e-07	-4.25022943959957	Proteomics
ATP6V1H	8.01274609474994e-07	-4.23367767543614	Proteomics
TOP2B	8.57481218455428e-07	4.21266877479804	Proteomics
GALE	8.57978610553788e-07	-4.21266877479804	Proteomics
WARS	8.8973250234792e-07	-4.20116457793928	Proteomics
CMIP	9.11983343193917e-07	-4.19835329128547	Proteomics
HDDC2	9.13069655785724e-07	-4.19835329128547	Proteomics
TRA2A	9.27762107195787e-07	4.19769935661433	Proteomics
TOM1	9.32031028193132e-07	-4.19769935661433	Proteomics
RNF149	9.42192637010963e-07	-4.19706793368518	Proteomics
GOT1	9.66253756152596e-07	-4.19015642232656	Proteomics
SNX8	1.01852434030956e-06	-4.17127894789277	Proteomics
CHAF1B	1.03994416494336e-06	4.16620652471167	Proteomics
TNFSF10	1.06332231097348e-06	4.16048191432404	Proteomics
PPT2	1.07662463123941e-06	4.15998103022064	Proteomics
SNRPE	1.08966333517923e-06	4.15998103022064	Proteomics
RNF31	1.09997571360898e-06	-4.15998103022064	Proteomics
HNRNPH3	1.10291151787647e-06	4.15998103022064	Proteomics
PTER	1.16433551698767e-06	-4.14067912303808	Proteomics
